Number,Code Name,Description,Citations,URLs
78,Cooperation codes,The Moral Cooperation Code,"Proverbio, A. M., F. Riva, L. Paganelli, S. F. Cappa, N. Canessa, D. Perani and A. Zani (2011). “Neural coding of cooperative vs. affective human interactions: 150 ms to code the action’s purpose.” PLoS One 6(7): e22026. Efferson, C. and E. Fehr (2018). “Simple moral code supports cooperation.” Nature 555(7695): 169- 170.","[""https://doi.org/10.1074/jbc.R100041200"", ""https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0022026"", ""https://www.nature.com/articles/d41586-018-02621-x""]"
79,Coregulator code,The Transcriptional Coregulator Code SEE also Transcription Codes,"Rosenfeld, M. G., & Glass, C. K. (2001). Coregulator Codes of Transcriptional Regulation by Nuclear Receptors*. Journal of Biological Chemistry, 276(40), 36865-36868. Stallcup, M. R. and C. Poulard (2020). ""Gene-Specific Actions of Transcriptional Coregulators Facilitate Physiological Plasticity: Evidence for a Physiological Coregulator Code."" Trends Biochem Sci 45(6): 497-510.","[""https://doi.org/10.1021/acsphyschemau.2c00041"", ""https://doi.org/10.1074/jbc.R100041200"", ""https://www.cell.com/trends/biochemical-sciences/fulltext/S0968-0004(20)30052-9""]"
80,CRISPR code,The CRISPR Code,"Daskalakis, V. (2022). Deciphering the QR Code of the CRISPR-Cas9 System: Synergy between Gln768 (Q) and Arg976 (R). ACS Phys Chem Au, 2(6), 496-505. Yoon, P. H., Loi, K., Zhang, Z., Docter, T. A., Lopez, S. C., Langeberg, C. J., . . . Doudna, J. A. (2026). A Noncontiguous Code for RNA-Guided DNA Recognition Preceded CRISPR. bioRxiv.","[""https://doi.org/10.1021/acsphyschemau.2c00041"", ""https://doi.org/10.64898/2026.04.26.720920"", ""https://onlinelibrary.wiley.com/doi/10.1002/ctm2.818""]"
81,Cryptic code,The Cryptic Amyotrophic Sclerosis Code,"Akiyama, T., Y. Koike, L. Petrucelli and A. D. Gitler (2022). “Cracking the cryptic code in amyotrophic lateral sclerosis and frontotemporal dementia: Towards therapeutic targets and biomarkers.” Clin Transl Med 12(5): e818.","[""https://onlinelibrary.wiley.com/doi/10.1002/ctm2.818"", ""https://www.cell.com/cell-reports/fulltext/S2211-1247(13)00206-4""]"
82,CTCF code,The CTCF DNA Binding Code,"Nakahashi, H., K. R. Kieffer Kwon, W. Resch, L. Vian, M. Dose, D. Stavreva, O. Hakim, N. Pruett, S. Nelson, A. Yamane, J. Qian, W. Dubois, S. Welsh, R. D. Phair, B. F. Pugh, V. Lobanenkov, G. L. Hager and R. Casellas (2013). ""A genome-wide map of CTCF multivalency redefines the CTCF code."" Cell Rep 3(5): 1678-1689. Nichols, M. H., & Corces, V. G. (2015). A CTCF Code for 3D Genome Architecture. Cell, 162(4), 703- 705. Lobanenkov, V. V., & Zentner, G. E. (2018). Discovering a binary CTCF code with a little help from BORIS. Nucleus, 9(1), 33-41.","[""https://doi.org/10.1016/j.cell.2015.07.053"", ""https://doi.org/10.1080/19491034.2017.1394536"", ""https://www.cell.com/cell-reports/fulltext/S2211-1247(13)00206-4"", ""https://www.nature.com/articles/nsb0903-679""]"
83,CTD code,The C-Terminal Domain Code SEE also Phosphorylation Code,"Buratowski, S. (2003). “The CTD code.” Nat Struct Biol 10(9): 679-680. Egloff, S., & Murphy, S. (2008). Cracking the RNA polymerase II CTD code. Trends in Genetics, 24(6), 280-288.","[""https://doi.org/10.1016/j.tig.2008.03.008"", ""https://www.nature.com/articles/nsb0903-679""]"
84,Cryptic code,The Cryptic ALS code,"Akiyama, T., Koike, Y., Petrucelli, L., & Gitler, A. D. (2022). Cracking the cryptic code in amyotrophic lateral sclerosis and frontotemporal dementia: Towards therapeutic targets and biomarkers. Clin Transl Med, 12(5), e818.","[""https://doi.org/10.1002/ctm2.818"", ""https://doi.org/10.1017/S0080443600011110""]"
85,Culture code,The Culture Codes,"Lloyd, B. (1976). Culture and Colour Coding. Royal Institute of Philosophy Lectures, 10, 140-161. Molnar, D. (2013). Cracking the colour code: A case study of red. Jezikoslovlje, 14 (2-3), 363-383. Preuzeto s","[""https://doi.org/10.1017/S0080443600011110"", ""https://doi.org/10.1080/15384101.2025.2597275"", ""https://hrcak.srce.hr/112197""]"
86,Curvature code,The (Membrane) Curvature Code SEE also Mechanical Codes SEE also Apoptosis Code,"Santulli, G. (2025). The curvature code: BCL-w dimers rewire BAX-BCL-2 control of mitochondrial fate and apoptosis. Cell Cycle, 24(21-24), 403-408.","[""https://doi.org/10.1080/15384101.2025.2597275"", ""https://www.frontiersin.org/articles/10.3389/fpsyg.2019.02621/full""]"
87,Cybernetic code,The Cybernetic (Cognition) Code,"Wells, A. (2019). “Breaking the Cybernetic Code: Understanding and Treating the Human Metacognitive Control System to Enhance Mental Health.” Front Psychol 10: 2621.","[""https://www.cell.com/trends/molecular-medicine/fulltext/S1471-4914(04)00316-8"", ""https://www.frontiersin.org/articles/10.3389/fpsyg.2019.02621/full""]"
88,Cytokine code,The Cytokine Codes,"Ulloa, L. and K. J. Tracey (2005). “The “cytokine profile”: a code for sepsis.” Trends Mol Med 11(2): 56-63. Nickoloff, B. J. (2007). “Cracking the cytokine code in psoriasis.” Nat Med 13(3): 242-244. Hartmann, B. M., N. Marjanovic, G. Nudelman, T. M. Moran and S. C. Sealfon (2014). “Combinatorial cytokine code generates anti-viral state in dendritic cells.” Front Immunol 5: 73. Nickoloff, B. J. (2023). Cracking the cytokine code in atopic dermatitis reveals IL-13 as dominant driver of disease activity. J Dermatol Sci, 111(3), 128-129. Takahama, M., Patil, A., Richey, G., Cipurko, D., Johnson, K., Carbonetto, P., . . . Chevrier, N. (2024). A pairwise cytokine code explains the organism-wide response to sepsis. Nat Immunol, 25(2), 226-239. Yu, Y., Liu, X., Liu, W., Yuan, H., Han, Q., Shi, J., . . . Li, Y. (2025). Decoding the cytokine code for heart failure based on bioinformatics, machine learning and Bayesian networks. Biochim Biophys Acta Mol Basis Dis, 1871(3), 167701. Florence Vallelian, Dominik Schaer, Nadja Schulthess-Lutz et al. (2025) A CSF-cytokine code predicts macrophage response polarity and tumor outcomes, PREPRINT (Version 1) available at Research Square","[""https://doi.org/10.1038/s41590-023-01722-8"", ""https://doi.org/10.21203/rs.3.rs-7346391/v1"", ""https://www.cell.com/trends/molecular-medicine/fulltext/S1471-4914(04)00316-8"", ""https://www.frontiersin.org/articles/10.3389/fimmu.2014.00073/full"", ""https://www.jdsjournal.com/article/S0923-1811(23)00143-3/abstract"", ""https://www.nature.com/articles/nm0307-242"", ""https://www.sciencedirect.com/science/article/abs/pii/S0925443925000468""]"
89,Cytoskeleton code,The Cytoskeleton Code,"Barbieri, M. (2003). The organic codes. An introduction to semantic biology., Cambridge University Press. Gimona, M. (2008). Protein Linguistics and the Modular Code of the Cytoskeleton. The Codes of Life: The Rules of Macroevolution. M. Barbieri and J. Hoffmeyer. Dordrecht, Springer Netherlands: 189- 206. Garhewal, A., Angres, G. J., & Muroyama, A. (2025). The polar code for patterning: how polarity and the cytoskeleton orchestrate asymmetric cell division during plant development [Review]. Front Cell Dev Biol, Volume 13 - 2025. Peris, Leticia (2025). Microtubule-actin crosstalk in dendritic spines: a cytoskeletal code for synaptic stability and neuroprotection. Life Sciences [q-bio]. UGA (Université Grenoble Alpes)","[""https://doi.org/10.3389/fcell.2025.1618444"", ""https://hal.science/tel-05264648"", ""https://link.springer.com/article/10.1007/s003590050346"", ""https://link.springer.com/chapter/10.1007/978-1-4020-6340-4_8"", ""https://www.cambridge.org/core/books/organic-codes/7015316BD6B4F5F466CAC59FD31CD7F3""]"
90,Dance code (animal),The Honey Bee Dance Code,"Rohrseitz, K. and J. Tautz (1999). “Honey bee dance communication: waggle run direction coded in antennal contacts?” Journal of Comparative Physiology A 184(4): 463-470.","[""https://doi.org/10.1145/3491102.3501916"", ""https://link.springer.com/article/10.1007/s003590050346""]"
91,Dance code (human),The Human Dance Code,"Françoise, J., Alaoui, S. F., & Candau, Y. (2022). CO/DA: Live-Coding Movement-Sound Interactions for Dance Improvisation Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems, New Orleans, LA, USA. Ursyn, A. (2025). Dance Code: Dance Steps As A Code (1st ed.). Chapman and Hall/CRC.","[""https://doi.org/10.1038/s41467-022-31549-0"", ""https://doi.org/10.1145/3491102.3501916"", ""https://doi.org/10.1201/9781003592952""]"
92,Decisional Codes,The Neural Decisional Codes,"Aller, M., Mihalik, A., & Noppeney, U. (2022). Audiovisual adaptation is expressed in spatial and decisional codes. Nat Commun, 13(1), 3924. Buetfering, C., Zhang, Z., Pitsiani, M., Smallridge, J., Boven, E., McElligott, S., & Häusser, M. (2022). Behaviorally relevant decision coding in primary somatosensory cortex neurons. Nat Neurosci, 25(9), 1225-1236. Kutter, E. F., Viswanathan, P., & Nieder, A. (2026). Dopamine D1 and D2 receptors differentially control strength and dynamics of abstract decision codes in the primate prefrontal cortex. Proceedings of the National Academy of Sciences, 123(15), e2600210123.","[""https://doi.org/10.1038/s41467-022-31549-0"", ""https://doi.org/10.1038/s41593-022-01151-0"", ""https://doi.org/10.1073/pnas.2600210123"", ""https://www.nature.com/articles/ni0101_15""]"
93,Defence Code,The Host Defence Code,"Medzhitov, R. (2001). “CpG DNA: security code for host defense.” Nat Immunol 2(1): 15-16.","[""https://doi.org/10.1126/science.170.3961.983"", ""https://www.nature.com/articles/ni0101_15""]"
94,Dendritic code,The Dendritic Cell Code,"Pomeranz, B., & Chung, S. H. (1970). Dendritic-Tree Anatomy Codes Form-Vision Physiology in Tadpole Retina. Science, 170(3961), 983-984.","[""https://doi.org/10.1126/science.170.3961.983""]"
95,Density code SEE also Vaccine Codes,The (Surface Antigen) Density Code,"Cheng, W. (2016). The Density Code for the Development of a Vaccine? Journal of Pharmaceutical Sciences, 105(11), 3223-3232.","[""https://doi.org/10.1016/j.xphs.2016.07.020"", ""https://doi.org/10.1038/clpt.2011.282""]"
96,Depression code,The Depression (Neuroinflammatory) Code,"Schroeder, M., Hillemacher, T., Bleich, S., & Frieling, H. (2012). The Epigenetic Code in Depression: Implications for Treatment. Clinical Pharmacology & Therapeutics, 91(2), 310-314. Gałecka, M., Bliźniewska-Kowalska, K., Maes, M., Su, K. P., & Gałecki, P. (2021). Update on the neurodevelopmental theory of depression: is there any 'unconscious code'? Pharmacol Rep, 73(2), 346-356. Yuan, Z., Qi, Z., Wang, R., Cui, Y., An, S., Wu, G., . . . Luo, M. (2023). A corticoamygdalar pathway controls reward devaluation and depression using dynamic inhibition code. Neuron, 111(23), 3837- 3853.e3835. Comai, S., De Martin, S., Mattarei, A., Guidetti, C., Pappagallo, M., Folli, F., . . . Manfredi, P. L. (2024). N-methyl-D-aspartate Receptors and Depression: Linking Psychopharmacology, Pathology and Physiology in a Unifying Hypothesis for the Epigenetic Code of Neural Plasticity. Pharmaceuticals, 17(12), 1618.","[""https://doi.org/10.1016/j.neuron.2023.08.022"", ""https://doi.org/10.1038/clpt.2011.282"", ""https://link.springer.com/article/10.1007/s43440-020-00202-2"", ""https://www.mdpi.com/1424-8247/17/12/1618""]"
97,Developmental code,The Developmental Codes,"Zhao, H., Li, B., Liu, L., Wang, X., Zhu, Z., & Liu, Y. (2025). Deciphering the ″Developmental Code″: A Comprehensive Review of Regulatory Mechanisms in Tomato Trichomes. Journal of Agricultural and Food Chemistry, 73(28), 17358-17373.","[""https://doi.org/10.1021/acs.jafc.5c02904"", ""https://doi.org/10.1111/imr.13362""]"
98,Diabetes code,The Diabetes Codes,"Yau, C., & Danska, J. S. (2024). Cracking the type 1 diabetes code: Genes, microbes, immunity, and the early life environment. Immunological Reviews, 325(1), 23-45.","[""https://doi.org/10.1111/imr.13362"", ""https://www.karger.com/Article/Abstract/111183""]"
99,Differentiation code,The Differentiation Code,"Gu, X. and N. C. Spitzer (1997). “Breaking the code: regulation of neuronal differentiation by spontaneous calcium transients.” Dev Neurosci 19(1): 33-41. Spitzer, N. C. (2009). Neuroscience: A bar code for differentiation. Nature, 458(7240), 843-844. Kondoh, H. and Y. Kamachi (2010). ""SOX-partner code for cell specification: Regulatory target selection and underlying molecular mechanisms."" Int J Biochem Cell Biol 42(3): 391-399. Gordon, R. and N. K. Gordon (2019). “The differentiation code.” Biosystems 184: 104013. Ni, P., & Su, Z. (2019). Deciphering epigenomic code for cell differentiation using deep learning. BMC Genomics, 20(1), 709. Wang, N., X. Ji, Y. Wu, S. Zhou, H. Peng, J. Wang, S. Yu and J. Zhang (2021). ""The Different Molecular Code in Generation of Dopaminergic Neurons from Astrocytes and Mesenchymal Stem Cells."" Int J Mol Sci 22(22). Metzl-Raz, E., Zhao, R., Deshpande, S., Powell, J., Porter, E. G., Zouaghi, Y., . . . Gifford, C. A. (2025). Deep learning the dynamic regulatory sequence code of cardiac organoid differentiation. bioRxiv.","[""https://doi.org/10.1038/458843a"", ""https://doi.org/10.1101/2025.10.15.680997"", ""https://doi.org/10.1186/s12864-019-6072-8"", ""https://elifesciences.org/articles/38232"", ""https://linkinghub.elsevier.com/retrieve/pii/S0303-2647(19)30168-6"", ""https://linkinghub.elsevier.com/retrieve/pii/S1357-2725(09)00246-5"", ""https://www.karger.com/Article/Abstract/111183"", ""https://www.mdpi.com/1422-0067/22/22/12141""]"
100,Discriminator code,The Discriminator Codes,"Kuncha, S. K., K. Suma, K. I. Pawar, J. Gogoi, S. B. Routh, S. Pottabathini, S. P. Kruparani and R. Sankaranarayanan (2018). ""A discriminator code-based DTD surveillance ensures faithful glycine delivery for protein biosynthesis in bacteria."" Elife 7.","[""https://elifesciences.org/articles/38232"", ""https://link.springer.com/article/10.1007/s10441-008-9049-6""]"
101,DNA codes,The DNA Codes,"Sternberg, R. V. (2008). “DNA codes and information: formal structures and relational causes.” Acta Biotheor 56(3): 205-232.","[""https://link.springer.com/article/10.1007/BF00366264"", ""https://link.springer.com/article/10.1007/s10441-008-9049-6""]"
102,DNA-binding code,The DNA-Binding Code SEE also Zinc finger code,"Gursky, A. V., V. G. Tumanyan, A. S. Zasedatelev, A. L. Zhuze, S. L. Grokhovsky and B. P. Gottikh (1976). ""A code controlling specific binding of regulatory proteins to DNA."" Mol Biol Rep 2(5): 413- 425.","[""https://link.springer.com/article/10.1007/BF00366264""]"
103,DNA damage code,The DNA Damage Code SEE also Recombination Codes,"Chen, H., Yang, H., Zhu, X., Yadav, T., Ouyang, J., Truesdell, S. S., . . . Lan, L. (2020). m(5)C modification of mRNA serves a DNA damage code to promote homologous recombination. Nat Commun, 11(1), 2834.","[""https://doi.org/10.1038/s41467-020-16722-7"", ""https://doi.org/10.1101/2024.05.10.593572""]"
104,DNA replication code,DNA Replication Code,"Marmolejo, C. O., Sanchez, C., Lee, J., Werner, M., Roberts, P., Hamperl, S., & Saldivar, J. C. (2024). A phosphorylation code coordinating transcription condensate dynamics with DNA replication. bioRxiv, 2024.2005.2010.593572.","[""https://doi.org/10.1101/2024.05.10.593572"", ""https://www.pnas.org/doi/10.1073/pnas.0700149104""]"
105,Domain code,The Domain (Specificity) Codes,"Koide, A., R. N. Gilbreth, K. Esaki, V. Tereshko and S. Koide (2007). “High-affinity single-domain binding proteins with a binary-code interface.” Proc Natl Acad Sci U S A 104(16): 6632-6637. Throckmorton, K., V. Vinnik, R. Chowdhury, T. Cook, M. G. Chevrette, C. Maranas, B. Pfleger and M. G. Thomas (2019). “Directed Evolution Reveals the Functional Sequence Space of an Adenylation Domain Specificity Code.” ACS Chem Biol 14(9): 2044-2054.","[""https://doi.org/10.1007/s00344-026-12111-4"", ""https://pubs.acs.org/doi/10.1021/acschembio.9b00532"", ""https://www.pnas.org/doi/10.1073/pnas.0700149104""]"
106,Dormancy code,The Dormancy Codes SEE also Seed Germination Code,"Kumar, V., Jaiswal, D. K., Ansari, W. A., Sahu, P. K., & Kumar Baranwal, V. (2026). Unveiling Nature’s Dormancy Code: The Pivotal Role of Brassinosteroids in Seed Germination. Journal of Plant Growth Regulation.","[""https://doi.org/10.1007/s00344-026-12111-4"", ""https://ipbooks.net/product/the-dream-code-lectures-by-anna-aragno/""]"
107,Dream code,The Dream (Language) Code,"Aragno, A. (2025). The Dream Codes Lectures. IPBooks. Ereiras Vedor, J. (2025). Dreams as a Code Language. Biosystems, 105586.","[""https://ipbooks.net/product/the-dream-code-lectures-by-anna-aragno/"", ""https://www.cell.com/developmental-cell/fulltext/S1534-5807(10)00004-3"", ""https://www.sciencedirect.com/science/article/abs/pii/S0303264725001960""]"
108,Dress code,The Molecular Dress Codes,"Fingleton, B. and C. C. Lynch (2010). ""A new dress code for MMPs: cleavage optional."" Dev Cell 18(1): 3-4. Belkaid, Y. and J. Grainger (2013). ""Immunology. Mucus coat, a dress code for tolerance."" Science 342(6157): 432-433. Lamaze, C., N. Tardif, M. Dewulf, S. Vassilopoulos and C. M. Blouin (2017). ""The caveolae dress code: structure and signaling."" Curr Opin Cell Biol 47: 117-125.","[""https://linkinghub.elsevier.com/retrieve/pii/S0955-0674(16)30161-2"", ""https://www.cell.com/developmental-cell/fulltext/S1534-5807(10)00004-3"", ""https://www.science.org/doi/10.1126/science.1246252""]"
109,Ecdysone code,The Ecdysone Codes,"Ono, H., K. F. Rewitz, T. Shinoda, K. Itoyama, A. Petryk, R. Rybczynski, M. Jarcho, J. T. Warren, G. Marqués, M. J. Shimell, L. I. Gilbert and M. B. O'Connor (2006). ""Spook and Spookier code for stage- specific components of the ecdysone biosynthetic pathway in Diptera."" Dev Biol 298(2): 555-570.","[""https://link.springer.com/article/10.1007/s12304-010-9081-1"", ""https://www.sciencedirect.com/science/article/pii/S0012160606009870""]"
110,Ecological codes,The Ecological Codes,"Kull, K. (2010). “Ecosystems are Made of Semiosic Bonds: Consortia, Umwelten, Biophony and Ecological Codes.” Biosemiotics 3(3): 347-357","[""https://link.springer.com/article/10.1007/s12304-010-9081-1"", ""https://linkinghub.elsevier.com/retrieve/pii/S0021-9258(18)31545-X""]"
111,Endocrine codes,The Endocrine Signalling Codes,"Leong, D. A. and M. O. Thorner (1991). ""A potential code of luteinizing hormone-releasing hormone- induced calcium ion responses in the regulation of luteinizing hormone secretion among individual gonadotropes."" J Biol Chem 266(14): 9016-9022. Dygalo, N. N. (2010). “[Evolution of endocrine glands and neuroendocrine systems: the “humoral code”].” Ross Fiziol Zh Im I M Sechenova 96(7): 675-685. Burnstock, G. (2014). “Purinergic signalling in endocrine organs.” Purinergic Signalling 10(1): 189-231. Gribble, F. M. and F. Reimann (2017). “Signalling in the gut endocrine axis.” Physiology & Behavior 176: 183-188. Lee, S., J. Choi, J. Mohanty, L. P. Sousa, F. Tome, E. Pardon, J. Steyaert, M. A. Lemmon, I. Lax and J. Schlessinger (2018). “Structures of β-klotho reveal a ‘zip code’-like mechanism for endocrine FGF signalling.” Nature 553(7689): 501-505. Kuang, H. and J. D. Lin (2019). “GPNMB: expanding the code for liver–fat communication.” Nature Metabolism 1(5): 507-508. Hah, Y.-S., Hwang, J., Lee, S.-J., & Kwag, S.-J. (2026). Decoding the Endocrine Code of Skeletal Muscle: Myokines, Exerkines, and Inter-Organ Crosstalk in Metabolic Health and Disease. Cells, 15(4), 318.","[""https://doi.org/10.1016/S0021-9258(19)36515-9"", ""https://link.springer.com/article/10.1007/s11302-013-9396-x"", ""https://linkinghub.elsevier.com/retrieve/pii/S0021-9258(18)31545-X"", ""https://pubmed.ncbi.nlm.nih.gov/20973172/"", ""https://pubmed.ncbi.nlm.nih.gov/29342135/"", ""https://www.mdpi.com/2073-4409/15/4/318"", ""https://www.nature.com/articles/s42255-019-0069-0"", ""https://www.sciencedirect.com/science/article/abs/pii/S0031938416311143""]"
112,Endocytic code,The Endocytic Code,"Chang, C. P., Lazar, C. S., Walsh, B. J., Komuro, M., Collawn, J. F., Kuhn, L. A., . . . Rosenfeld, M. G. (1993). Ligand-induced internalization of the epidermal growth factor receptor is mediated by multiple endocytic codes analogous to the tyrosine motif found in constitutively internalized receptors. Journal of Biological Chemistry, 268(26), 19312-19320. Vleurick, L., Pezet, A., Kühn, E. R., Decuypere, E., & Edery, M. (1999). A β-Turn Endocytic Code Is Required for Optimal Internalization of the Growth Hormone Receptor but Not for α-Adaptin Association. Molecular Endocrinology, 13(11), 1823-1831. Qualmann, B., Koch, D., & Kessels, M. M. (2011). Let's go bananas: revisiting the endocytic BAR code. Embo j, 30(17), 3501-3515.","[""https://doi.org/10.1016/S0021-9258(19)36515-9"", ""https://doi.org/10.1038/emboj.2011.266"", ""https://doi.org/10.1210/mend.13.11.0371""]"
113,Endothelial code,The Endothelial (Iron) Code,"Pantopoulos, K. (2025). Foxo1 unlocks the liver endothelial code to iron sensing. Blood, 146(14), 1639-1641.","[""https://doi.org/10.1002/9780470720110.ch10"", ""https://doi.org/10.1182/blood.2025030281""]"
114,Epigenetic code – A (general),The Epigenetic (Chromatin) Code SEE alsoHistone Code,"Kauffman, S. (1975). Control circuits for determination and transdetermination: interpreting positional information in a binary epigenetic code. Ciba Found Symp, 0(29), 201-221. Imhof, A., & Becker, P. B. (2001). Modifications of the histone N-terminal domains - Evidence for an “epigenetic code”? Molecular Biotechnology, 17(1), 1-13. Benecke, A. (2006). ""Chromatin code, local non-equilibrium dynamics, and the emergence of transcription regulatory programs."" Eur Phys J E Soft Matter 19(3): 353-366. Fatemi, M. and P. A. Wade (2006). ""MBD family proteins: reading the epigenetic code."" J Cell Sci 119(Pt 15): 3033-3037. Lesne, A. (2006). ""The chromatin regulatory code: beyond a histone code."" Eur Phys J E Soft Matter 19(3): 375-377. Nightingale, K. P., L. P. O'Neill and B. M. Turner (2006). ""Histone modifications: signalling receptors and potential elements of a heritable epigenetic code."" Curr Opin Genet Dev 16(2): 125-136. Turner, B. M. (2007). “Defining an epigenetic code.” Nature Cell Biology 9(1): 2-6. Lennartsson, A. and K. Ekwall (2009). “Histone modification patterns and epigenetic codes.” Biochim Biophys Acta 1790(9): 863-868. Dhanak, D. (2012). Cracking the Code: The Promise of Epigenetics. ACS Medicinal Chemistry Letters, 3(7), 521-523. Marx, V. (2012). “Epigenetics: Reading the second genomic code.” Nature 491(7422): 143-147. The EPIC Planning Committee (2012). “Reading the second code: mapping epigenomes to understand plant growth, development, and adaptation to the environment.” Plant Cell 24(6): 2257- 2261. Karpathakis, A., Dibra, H., & Thirlwell, C. (2013). Neuroendocrine tumours: cracking the epigenetic code. Endocr Relat Cancer, 20(3), R65-82.","[""https://academic.oup.com/plcell/article/24/6/2257/6100785"", ""https://doi.org/10.1002/9780470720110.ch10"", ""https://doi.org/10.1021/ml300141h"", ""https://doi.org/10.1385/MB:17:1:01"", ""https://doi.org/10.1530/erc-12-0338"", ""https://journals.biologists.com/jcs/article/119/15/3033/29098/MBD-family-proteins-reading-the-epigenetic-code"", ""https://link.springer.com/article/10.1140/epje/i2005-10064-0"", ""https://link.springer.com/article/10.1140/epje/i2005-10068-8"", ""https://linkinghub.elsevier.com/retrieve/pii/S0959-437X(06)00037-2"", ""https://www.nature.com/articles/491143a"", ""https://www.nature.com/articles/ncb0107-2"", ""https://www.sciencedirect.com/science/article/abs/pii/S0304416509000038""]"
115,Epigenetic code – B (stem cell),The Epigenetic Stem Cell Codes,"Yamada, Y., & Watanabe, A. (2010). 7 - Epigenetic Codes in Stem Cells and Cancer Stem Cells. In Z. Herceg & T. Ushijima (Eds.), Advances in Genetics (Vol. 70, pp. 177-199). Academic Press. Bayarsaihan, D. (2016). ""Deciphering the Epigenetic Code in Embryonic and Dental Pulp Stem Cells."" Yale J Biol Med 89(4): 539-563.","[""https://doi.org/10.1016/B978-0-12-380866-0.60007-1"", ""https://pubmed.ncbi.nlm.nih.gov/28018144/""]"
116,Epigenetic code – C (behaviour),The Epigenetic Behaviour Codes SEE also Depression code,"Gräff, J. and I. M. Mansuy (2008). “Epigenetic codes in cognition and behaviour.” Behav Brain Res 192(1): 70-87. Maleszka, R. (2016). ""Epigenetic code and insect behavioural plasticity."" Curr Opin Insect Sci 15: 45- 52. Fustin, J. M., R. Kojima, K. Itoh, H. Y. Chang, S. Ye, B. Zhuang, A. Oji, S. Gibo, R. Narasimamurthy, D. Virshup, G. Kurosawa, M. Doi, I. Manabe, Y. Ishihama, M. Ikawa and H. Okamura (2018). ""Two Ck1δ transcripts regulated by m6A methylation code for two antagonistic kinases in the control of the circadian clock."" Proc Natl Acad Sci U S A 115(23): 5980-5985.","[""https://doi.org/10.2217/fnl.11.67"", ""https://linkinghub.elsevier.com/retrieve/pii/S0166-4328(08)00073-9"", ""https://www.pnas.org/doi/abs/10.1073/pnas.1721371115"", ""https://www.sciencedirect.com/science/article/abs/pii/S2214574516300189""]"
117,Epigenetic code – D (miscellaneous),The Epigenetic Code Miscellaneous,"Jiang, Y., & Hsieh, J. (2012). Harnessing Adult Neurogenesis By Cracking the Epigenetic Code. Future Neurology, 7(1), 65-79. Treas, J. N., T. Tyagi and K. P. Singh (2012). ""Effects of chronic exposure to arsenic and estrogen on epigenetic regulatory genes expression and epigenetic code in human prostate epithelial cells."" PLoS One 7(8): e43880. Bronner, C., M. Krifa and M. Mousli (2013). ""Increasing role of UHRF1 in the reading and inheritance of the epigenetic code as well as in tumorogenesis."" Biochem Pharmacol 86(12): 1643-1649. Santoni, F. A. (2013). ""EMdeCODE: a novel algorithm capable of reading words of epigenetic code to predict enhancers and retroviral integration sites and to identify H3R2me1 as a distinctive mark of coding versus non-coding genes."" Nucleic Acids Res 41(3): e48. Allan, R. S., & Nutt, S. L. (2014). Deciphering the epigenetic code of T lymphocytes. Immunological Reviews, 261(1), 50-61. Infante, T., F. P. Mancini, A. Lanza, A. Soricelli, F. de Nigris and C. Napoli (2015). “Polycomb YY1 is a critical interface between epigenetic code and miRNA machinery after exposure to hypoxia in malignancy.” Biochim Biophys Acta 1853(5): 975-986. Biot, M. and B. de Massy (2020). ""Reading the epigenetic code for exchanging DNA."" Elife 9. Kawaguchi, A., Wang, J., Knapp, D., Murawala, P., Nowoshilow, S., Masselink, W., . . . Tanaka, E. M. (2024). A chromatin code for limb segment identity in axolotl limb regeneration. Dev Cell, 59(16), 2239-2253.e2239.","[""https://academic.oup.com/nar/article/41/3/e48/2902501"", ""https://doi.org/10.1016/j.devcel.2024.05.002"", ""https://doi.org/10.1111/imr.12207"", ""https://doi.org/10.2217/fnl.11.67"", ""https://elifesciences.org/articles/61820"", ""https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0043880"", ""https://www.sciencedirect.com/science/article/abs/pii/S0006295213006527"", ""https://www.sciencedirect.com/science/article/pii/S016748891500018X""]"
118,Episode code,The episodic memory code,"Sakabe, E. Y., Camargo, E., Simões, A., Colombini, E., Costa, P., & Gudwin, R. (2025). An episode encoding mechanism for cognitive architectures. Cognitive Systems Research, 101397.","[""https://doi.org/10.1016/j.jaci.2025.10.014"", ""https://www.sciencedirect.com/science/article/abs/pii/S1389041725000774""]"
119,Epitope code,The Epitope Codes,"Konstantinou, G. N., Yin Wong, L. S., & Nowak-Wegrzyn, A. (2025). Reading the code of epitope- specific IgE: Predicting persistence and resolution in peanut allergy. Journal of Allergy and Clinical Immunology, 156(6), 1520-1522.","[""https://doi.org/10.1016/j.jaci.2025.10.014"", ""https://www.sciencedirect.com/science/article/abs/pii/S1874939918300476""]"
