Code Number,Code Name,Paper Name,URL,Reason
319,Quantum code,"Petoukhov, S. V. (2021). “Algebraic harmony and probabilities in genomes. Long-range coherence in quantum code biology.” Biosystems 209: 104503.",https://www.sciencedirect.com/science/article/abs/pii/S0303264721001507,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
320,Quasi-cyclic codes,"Ravanmehr, V. and B. Vasić (2012). Quasi-cyclic codes exhibiting the gene regulatory network of the cell cycle. 2012 IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology (CIBCB).",https://ieeexplore.ieee.org/document/6217259,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
323,Reading code,"Dehaene, S., L. Cohen, M. Sigman and F. Vinckier (2005). “The neural code for written words: a proposal.” Trends Cogn Sci 9(7): 335-341.",https://www.sciencedirect.com/science/article/abs/pii/S1364661305001439,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
323,Reading code,"Goswami, U. and J. C. Ziegler (2006). “A developmental perspective on the neural code for written words.” Trends in Cognitive Sciences 10: 142-143.",https://www.cell.com/trends/cognitive-sciences/fulltext/S1364-6613(06)00051-9,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
323,Reading code,"Houghton, G. (2018). ""Action and perception in literacy: A common-code for spelling and reading."" Psychol Rev 125(1): 83-116.",https://psycnet.apa.org/record/2017-46560-001,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
323,Reading code,"Agrawal, A., K. Hari and S. P. Arun (2020). “A compositional neural code in high-level visual cortex can explain jumbled word reading.” Elife 9.",https://elifesciences.org/articles/54846,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
324,Recognition code,"Freist, W. and F. Cramer (1976). “A binary code model for substrate recognition of aminoacyl-tRNA ligases.” J Theor Biol 58(2): 401-416.",https://linkinghub.elsevier.com/retrieve/pii/S0022-5193(76)80127-0,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
324,Recognition code,"Fellouse, F. A., B. Li, D. M. Compaan, A. A. Peden, S. G. Hymowitz and S. S. Sidhu (2005). “Molecular recognition by a binary code.” J Mol Biol 348(5): 1153-1162.",https://www.sciencedirect.com/science/article/abs/pii/S0022283605003165,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
324,Recognition code,"Hessa, T., N. M. Meindl-Beinker, A. Bernsel, H. Kim, Y. Sato, M. Lerch-Bader, I. Nilsson, S. H. White and G. von Heijne (2007). ""Molecular code for transmembrane-helix recognition by the Sec61 translocon."" Nature 450(7172): 1026-1030.",https://www.nature.com/articles/nature06387,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
324,Recognition code,"Park, Y. and V. Helms (2008). ""MINS2: revisiting the molecular code for transmembrane-helix recognition by the Sec61 translocon."" Bioinformatics 24(16): 1819-1820.",https://academic.oup.com/bioinformatics/article/24/16/1819/199146,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
325,Recombination codes,"Paulet, L., A. Trecourt, A. Leary, J. Peron, F. Descotes, M. Devouassoux-Shisheboran, K. Leroy, B. You and J. Lopez (2022). “Cracking the homologous recombination deficiency code: how to identify responders to PARP inhibitors.” Eur J Cancer 166: 87-99.",https://www.ejcancer.com/article/S0959-8049(22)00070-3/fulltext,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
326,Regeneration code,"Steinhoff, G. (2021). ""Deciphering the Code: Stem Cell-Immune Function and Cardiac Regeneration."" Cells 10(3).",https://www.mdpi.com/2073-4409/10/3/592,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
327,Redox code,"Percio, A., Cicchinelli, M., Masci, D., Summo, M., Urbani, A., & Greco, V. (2024). Oxidative Cysteine Post Translational Modifications Drive the Redox Code Underlying Neurodegeneration and Amyotrophic Lateral Sclerosis. Antioxidants, 13(8), 883.",https://www.mdpi.com/2076-3921/13/8/883,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
328,Renal code,"Endre, Z. H. and M. Fernando (2016). ""Unlocking the code: mining the urinary proteome after renal transplantation."" Kidney Int 89(6): 1183-1185.",https://linkinghub.elsevier.com/retrieve/pii/S0085-2538(16)30050-3,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
329,Repair code,"van Attikum, H. and S. M. Gasser (2005). “The histone code at DNA breaks: a guide to repair?” Nature Reviews Molecular Cell Biology 6(10): 757-765.",https://www.nature.com/articles/nrm1737,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
329,Repair code,"Escargueil, A. E., D. G. Soares, M. Salvador, A. K. Larsen and J. A. P. Henriques (2008). “What histone code for DNA repair?” Mutation Research/Reviews in Mutation Research 658(3): 259-270.",https://www.sciencedirect.com/science/article/abs/pii/S1383574208000276,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
329,Repair code,"Paquin, K. L. and N. G. Howlett (2018). “Understanding the Histone DNA Repair Code: H4K20me2 Makes Its Mark.” Molecular Cancer Research 16(9): 1335-1345.",https://aacrjournals.org/mcr/article/16/9/1335/89904/Understanding-the-Histone-DNA-Repair-Code-H4K20me2,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
330,Representation code,"Floyd, B., T. Santander and W. Weimer (2017). Decoding the Representation of Code in the Brain: An th fMRI Study of Code Review and Expertise. 2017 IEEE/ACM 39 International Conference on Software Engineering (ICSE).",https://ieeexplore.ieee.org/document/7985660,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
331,Retina code,"Bäckström, A. C., Hemilä, S., & Reuter, T. (1978). Directional selectivity and colour coding in the frog retina. Medical biology, 56(2), 72-83.",http://europepmc.org/abstract/MED/307098,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
331,Retina code,"Meister, M. and M. J. Berry, 2nd (1999). ""The neural code of the retina."" Neuron 22(3): 435-450.",https://www.cell.com/neuron/fulltext/S0896-6273(00)80700-X,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
331,Retina code,"Mausfeld, R. (2003). The dual coding of colour. In R. Mausfeld & D. Heyer (Eds.), Colour Perception: Mind and the Physical World (pp. 381--430). Oxford University Press.",https://academic.oup.com/book/27278,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
331,Retina code,"Puchalla, J. L., E. Schneidman, R. A. Harris and M. J. Berry (2005). ""Redundancy in the population code of the retina."" Neuron 46(3): 493-504.",https://linkinghub.elsevier.com/retrieve/pii/S0896-6273(05)00311-9,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
331,Retina code,"Berry Ii, M. J., F. Lebois, A. Ziskind and R. A. da Silveira (2019). ""Functional Diversity in the Retina Improves the Population Code."" Neural Comput 31(2): 270-311.",https://direct.mit.edu/neco/article-abstract/31/2/270/8447/Functional-Diversity-in-the-Retina-Improves-the,"PDF not retrievable (paywall, non-PDF response, or HTTP error)"
