code_number,pdf_path,two_worlds_verdict,two_worlds_confidence,two_worlds_e_full,two_worlds_e_abstract,two_worlds_e_chunk,adaptors_verdict,adaptors_confidence,adaptors_e_full,adaptors_e_abstract,adaptors_e_chunk,arbitrariness_verdict,arbitrariness_confidence,arbitrariness_e_full,arbitrariness_e_abstract,arbitrariness_e_chunk
4,10.1631_jzus.B1400076.pdf,not_met,1.0,-0.08148756959973372,-0.0880555276069341,-0.08826235465102603,not_met,1.0,-0.011879823234047071,0.03342961765935361,0.032435054367866596,not_met,1.0,0.04251329409684907,0.049294600234103744,0.052810930292101876
15,10.1371_journal.pbio.0060154.pdf,not_met,1.0,-0.004766810158503903,-0.06469534812040309,-0.004766810158503903,not_met,1.0,-0.04644901961384926,-0.02363925947645968,-0.04644901961384926,not_met,1.0,-0.05098561563019717,-0.037836315704203906,-0.05098561563019717
15,cshperspectives.cshlp.org_content_12_5_a036343.long.pdf,not_met,1.0,-0.006751375166925557,-0.016367297696076567,-0.0025910097218045554,met,1.0,0.061846446804528006,0.045110031060507476,0.07197582256767525,not_met,1.0,-0.00691102094251937,0.013821398010081495,-0.02345780791882097
19,10.7554_eLife.110152.pdf,not_met,1.0,-0.027516665359070686,-0.018025595581939127,-0.003385848581108809,not_met,1.0,-0.05678259664920415,-0.05522475349403407,-0.030559438898145296,not_met,1.0,-0.08025112958771097,-0.08691522552214129,-0.06431645719247031
20,10.3389_fcell.2026.1762891.pdf,not_met,1.0,-0.022106686330765513,-0.010457706907224865,-7.405768056626197e-05,met,1.0,0.03018903798882417,0.0664010522140221,0.03266723722273225,not_met,1.0,-0.06187220475992819,-0.05514575349601045,-0.034506172383309885
21,10.1007_s00441-015-2202-z.pdf,not_met,1.0,-0.033731067772319094,-0.00532169236433677,-0.022258251950209175,not_met,1.0,0.004798460754784083,0.01064513487514937,0.011277573889794416,not_met,1.0,0.03662041147227235,0.06173010099526744,0.02886112588154581
21,10.1177_2331216518784822.pdf,not_met,1.0,0.024543295991992266,0.043766285740162864,0.02790398232488353,not_met,1.0,-0.002147962476578548,-0.0017226876871276617,0.009103969332403284,not_met,1.0,-0.018629084548375786,-0.021615987733300618,0.03114618242650204
21,10.1371_journal.pcbi.1003336.pdf,not_met,1.0,0.07486736505608986,0.06094006777308391,0.0891657475111534,met,0.66,-0.0016520202985202954,-0.006084635649029128,-0.0037347838408592227,not_met,1.0,0.027826514266387367,0.05483872219572951,0.033391618505612834
21,10.1371_journal.pone.0007600.pdf,not_met,1.0,0.060640646414050925,0.08863543658988,0.061772732067081004,met,1.0,0.028665629578889268,0.014007281857455409,0.050342631821140335,not_met,1.0,0.023795929527981305,0.014873578212614553,0.030857150168111053
21,10.1371_journal.pone.0085017.pdf,met,1.0,0.07155266249797877,0.10526338413811581,0.07822054815911222,met,1.0,0.028100414495893865,0.03203964726997242,0.02971164790249556,not_met,1.0,0.05139949033672322,0.06552171246902899,0.048317144839038054
21,10.3389_fphys.2014.00140_full.pdf,not_met,1.0,0.04013840786200561,0.04101502135562862,0.05694499089799154,not_met,1.0,-0.05423746359148582,-0.06323756043972084,-0.00837903019281809,not_met,1.0,0.04229682095481615,0.044366321783010906,0.05053895869139875
